,style,street,city,zip_code,beds,full_baths,sqft,year_built,days_on_mls,list_price,price_per_sqft,year,month,day
3877,CONDOS,60-70  Woodhaven Blvd,Elmhurst,11373,2.0,2.0,721.0,2008.0,52,550000.0,763.0,2023,11,15
3878,MULTI_FAMILY,1135  60th St,Brooklyn,11219,2.0,4.0,,1952.0,52,1850000.0,,2023,11,15
3879,SINGLE_FAMILY,91  Flagg Ct,Staten Island,10304,2.0,1.0,1444.0,1989.0,52,1150000.0,796.0,2023,11,15
3880,CONDOS,122-06  25th Ave,College Point,11356,3.0,2.0,1015.0,2009.0,52,669000.0,659.0,2023,11,15
3881,MULTI_FAMILY,185  Troutman St,Brooklyn,11206,12.0,6.0,,1931.0,52,1250000.0,,2023,11,15
3882,CONDOS,142 W 19th St,Manhattan,10011,2.0,2.0,1566.0,2023.0,52,3300000.0,2107.0,2023,11,15
3883,SINGLE_FAMILY,44  Montell St,Staten Island,10302,4.0,2.0,1248.0,1925.0,52,499999.0,401.0,2023,11,15
3884,CONDOS,210  Lafayette St,New York,10012,3.0,3.0,2470.0,2005.0,52,4995000.0,2022.0,2023,11,15
3885,COOP,164-20  Highland Ave,Jamaica,11432,0.0,1.0,422.0,1958.0,52,130000.0,308.0,2023,11,15
3886,CONDOS,152-72  Melbourne Ave,Flushing,11367,1.0,1.0,800.0,1963.0,52,480000.0,600.0,2023,11,15
3887,MULTI_FAMILY,5370  Metropolitan Ave,Flushing,11385,6.0,6.0,3222.0,1952.0,52,1399999.0,435.0,2023,11,15
3888,MULTI_FAMILY,56-53  Myrtle Ave,Ridgewood,11385,2.0,2.0,,1952.0,52,1695000.0,,2023,11,15
3889,COOP,3215  Avenue H,Brooklyn,11210,2.0,1.0,1160.0,1961.0,52,379000.0,327.0,2023,11,15
3890,COOP,1 E 66th St,Manhattan,10065,2.0,2.0,,1949.0,52,2495000.0,,2023,11,15
3891,TOWNHOMES,449  Classon Ave,Brooklyn,11238,4.0,1.0,2625.0,2010.0,52,1195000.0,455.0,2023,11,15
3892,CONDOS,341  13th St,Brooklyn,11215,2.0,2.0,1502.0,2023.0,52,1500000.0,999.0,2023,11,15
3893,SINGLE_FAMILY,97  Amber St,Staten Island,10306,3.0,1.0,1296.0,1965.0,52,699998.0,540.0,2023,11,15
3894,COOP,35-15  84th St,Queens,11372,1.0,1.0,,1940.0,52,437500.0,,2023,11,15
3895,CONDOS,18-11  123rd St,Flushing,11356,1.0,1.0,679.0,1986.0,52,399000.0,588.0,2023,11,15
3896,COOP,315 W 70th St,New York,10023,2.0,2.0,,1963.0,52,1795000.0,,2023,11,15
3897,COOP,800  Grand Concourse Ave,Bronx,10451,2.0,1.0,950.0,1954.0,52,259000.0,273.0,2023,11,15
3898,SINGLE_FAMILY,2066  Ryer Ave,Bronx,10457,8.0,3.0,,1952.0,52,999900.0,,2023,11,15
3899,SINGLE_FAMILY,12  Rockne St,Staten Island,10314,5.0,3.0,2513.0,1970.0,52,1099000.0,437.0,2023,11,15
3900,COOP,21-20  33rd Rd,Astoria,11106,1.0,1.0,700.0,1958.0,52,389000.0,556.0,2023,11,15
3901,SINGLE_FAMILY,86  Bay 46th St,Brooklyn,11214,3.0,1.0,1200.0,1925.0,52,758000.0,632.0,2023,11,15
3902,MULTI_FAMILY,304  Cromwell Ave,Staten Island,10305,3.0,2.0,1020.0,1925.0,52,699999.0,686.0,2023,11,15
3903,MULTI_FAMILY,263 W 254th St,Bronx,10471,5.0,3.0,1800.0,1960.0,52,899999.0,500.0,2023,11,15
3904,SINGLE_FAMILY,202  Maple St,Brooklyn,11225,4.0,3.0,,1905.0,52,2249000.0,,2023,11,15
3905,COOP,150  Central Park,Manhattan,10019,2.0,2.0,,1940.0,52,1585000.0,,2023,11,15
